,start_times,end_times,on_status,stim_stopped_attack
0,20251029_14:06:07,20251029_14:06:17,True,n
1,20251029_14:06:24,20251029_14:06:34,True,y
2,20251029_14:07:23,20251029_14:07:33,True,y
3,20251029_14:10:37,20251029_14:10:47,True,y
4,20251029_14:14:39,20251029_14:14:49,True,y
5,20251029_14:15:13,20251029_14:15:23,True,y
