,start_times,end_times,on_status,stim_stopped_attack
0,20251029_14:19:48,20251029_14:19:58,True,n
1,20251029_14:20:03,20251029_14:20:13,False,y
2,20251029_14:20:34,20251029_14:20:44,True,y
