,start_times,end_times,on_status,stim_stopped_attack
0,20251029_15:28:13,20251029_15:28:23,True,y
1,20251029_15:28:38,20251029_15:28:48,True,y
2,20251029_15:29:23,20251029_15:29:33,False,y
3,20251029_15:33:03,20251029_15:33:13,False,y
4,20251029_15:33:17,20251029_15:33:27,False,y
5,20251029_15:33:57,20251029_15:34:07,False,y
