,start_times,end_times,on_status,stim_stopped_attack
0,20251029_14:57:42,20251029_14:57:52,False,y
1,20251029_14:58:05,20251029_14:58:15,False,y
2,20251029_14:59:29,20251029_14:59:39,True,y
3,20251029_15:02:32,20251029_15:02:42,True,n
4,20251029_15:02:57,20251029_15:03:07,True,y
5,20251029_15:03:15,20251029_15:03:25,False,n
6,20251029_15:03:45,20251029_15:03:55,True,y
7,20251029_15:04:18,20251029_15:04:28,True,y
8,20251029_15:05:07,20251029_15:05:17,False,n
9,20251029_15:06:29,20251029_15:06:39,False,y
