,start_times,end_times,on_status,stim_stopped_attack
0,20251030_16:07:06,20251030_16:07:16,True,y
1,20251030_16:07:25,20251030_16:07:35,False,y
2,20251030_16:12:19,20251030_16:12:29,True,y
